"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
228,"Floral Tradicional",2007,995427.703388,"Forest2000",0,2000,99.5427703388,0
229,"Doxura",2001,1015241.90412,"Forest2000",0,2000,101.524190412,0
230,"Kwes Kiwe Nasa",2000,260415.209607,"Forest2000",0,2000,26.0415209607,0
233,"Punta Bandera",2002,30879960.072467,"Forest2000",7123676.92946,2000,3087.9960072467,712.367692946
234,"Piaroa De Cachicamo",2005,159576024.4206,"Forest2000",33942669.3855,2000,15957.60244206,3394.26693855
238,"Pickwe Tha Fiw",2003,7052911.9268479,"Forest2000",311366.011486,2000,705.29119268479,31.1366011486
239,"Chaquira",2000,5382857.865239,"Forest2000",1394542.31811,2000,538.2857865239,139.454231811
241,"Rincón Bodega",2000,815212.830073,"Forest2000",0,2000,81.5212830073,0
242,"Barzaloza",2001,632167.356654,"Forest2000",16040.0672584,2000,63.2167356654,1.60400672584
245,"La Laguna-el Coso-cinco Caminos",2009,1102046.97398842,"Forest2000",167005.406161,2000,110.204697398842,16.7005406161
248,"Escopetera - Pirza",2003,4625200.570619,"Forest2000",140586.471853,2000,462.5200570619,14.0586471853
249,"Almorzadero, San Isidro Y La Nueva Unión",2002,45867044.09199,"Forest2000",45642483.1504,2000,4586.704409199,4564.24831504
250,"Rodeito El Pozo",2003,711424.159578,"Forest2000",0,2000,71.1424159578,0
251,"Cerro De Hatonuevo",2001,756713.761248,"Forest2000",0,2000,75.6713761248,0
253,"Zanja Honda",2010,2024822.60802512,"Forest2000",7548.26694512,2000,202.482260802512,0.754826694512
256,"Rincón Velú",2010,651981.557385,"Forest2000",0,2000,65.1981557385,0
258,"Guadualito",2011,11147846.744609,"Forest2000",1071853.90621,2000,1114.7846744609,107.185390621
260,"Cerrodeo",2002,15688129.312083,"Forest2000",0,2000,1568.8129312083,0
263,"Lomas De Guaguarco",2012,1218101.57827,"Forest2000",0,2000,121.810157827,0
